timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
00:00 2024/03/23,BTCUSDT,BUY,BUY,0.7999999999999999,0.65,63275.4,0.45820767522662775,28994.723596731616,2.8994723596731617,5798.654786606992,5.0,40141.633665688736,4201.345213393008,,,,,,
02:00 2024/03/23,BTCUSDT,TREND_REVERSAL,SELL,,,63758.01194,-0.45820767522662775,29214.410428098974,2.9214410428098976,5798.654786606992,,40358.39905601329,,216.76539032454863,3.738201329473971,40141.633665688736,0.011713859889332866,0.0002301532957186448,TREND_REVERSAL
06:00 2024/03/23,BTCUSDT,BUY,BUY,0.8,0.65,63038.6,0.46237912408532483,29149.19003819774,2.914919003819774,5829.546530313031,5.0,40355.484137009465,4170.453469686969,,,,,,
07:00 2024/03/23,BTCUSDT,TREND_REVERSAL,SELL,,,63812.60921,-0.46237912408532483,29505.618352118934,2.9505618352118934,5829.546530313031,,40708.96188909545,,353.4777520859829,6.063554862251045,40355.484137009465,0.012730421433895533,0.0006622901287128904,TREND_REVERSAL
11:00 2024/03/23,BTCUSDT,WEAK_BUY,BUY,0.25,0.25,63587.8,0.4161305349125468,26462.14826917344,2.6462148269173444,5292.165045582409,5.0,40706.31567426853,4707.834954417591,,,,,,
12:00 2024/03/23,BTCUSDT,TREND_REVERSAL,SELL,,,63896.705005,-0.4161305349125468,26589.37003287986,2.658937003287986,5292.165045582409,,40830.87850097166,,124.56282670312883,2.3537215039638006,40706.31567426853,0.008655639766519308,0.000872441194210198,TREND_REVERSAL
21:00 2024/03/23,BTCUSDT,WEAK_BUY,BUY,0.25,0.25,64619.5,0.4107130359354619,26541.398029182863,2.6541398029182863,5308.014205126316,5.0,40828.224361168745,4691.985794873684,,,,,,
22:00 2024/03/23,BTCUSDT,TREND_REVERSAL,SELL,,,65266.7365,-0.4107130359354619,26805.899493514822,2.680589949351482,5308.014205126316,,41090.045235551355,,261.82087438260766,4.932557907055886,40828.224361168745,0.013248728614258251,0.0037715981872430584,TREND_REVERSAL
23:00 2024/03/23,BTCUSDT,BUY,BUY,0.5,0.4,65128.4,0.410090366155293,26709.864829578542,2.6709864829578542,5341.705880621676,5.0,41087.374249068394,4658.294119378324,,,,,,
00:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,65664.11662999999,-0.410090366155293,26928.22163206056,2.692822163206056,5341.705880621676,,41303.0382293872,,215.66398031881002,4.037361568355589,41087.374249068394,0.010722030090816986,0.0031391251388046535,TREND_REVERSAL
03:00 2024/03/24,BTCUSDT,BUY,BUY,0.6,0.5,64890.0,0.41373054167208634,26848.317197844142,2.6848317197844143,5369.394969820337,5.0,41300.353397667415,4630.605030179663,,,,,,
04:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,65019.94884,-0.41373054167208634,26900.73865306454,2.6900738653064544,5369.394969820337,,41350.08477902251,,49.731381355092914,0.926200840776609,41300.353397667415,0.00407215731061177,0.0031427693525171952,TREND_REVERSAL
07:00 2024/03/24,BTCUSDT,WEAK_BUY,BUY,0.39999999999999997,0.35000000000000003,63996.3,0.41998607898213847,26878.89898411995,2.687889898411995,5375.511021272926,5.0,41347.396889124095,4624.488978727074,,,,,,
08:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,64538.7729,-0.41998607898213847,27105.3861725897,2.7105386172589703,5375.511021272926,,41571.17353897658,,223.77664985249055,4.1628907273545135,41347.396889124095,0.00938288872156539,0.0006515647016077733,TREND_REVERSAL
11:00 2024/03/24,BTCUSDT,WEAK_BUY,BUY,0.3,0.25,63984.0,0.4223128094575953,27022.6138634748,2.70226138634748,5404.252560066956,5.0,41568.47127759024,4595.747439933044,,,,,,
12:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,64233.488164999995,-0.4223128094575953,27126.624848222345,2.7126624848222347,5404.252560066956,,41669.76959985296,,101.29832226272467,1.8744187311162532,41568.47127759024,0.004278993352157691,0.003228758292018061,TREND_REVERSAL
14:00 2024/03/24,BTCUSDT,BUY,BUY,0.6000000000000001,0.5,64233.7,0.42166884734811205,27086.704507416423,2.7086704507416424,5417.070047980885,5.0,41667.06092940222,4582.929952019115,,,,,,
16:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,65255.53706,-0.42166884734811205,27516.22709517221,2.751622709517221,5417.070047980885,,42093.83189444849,,426.7709650462687,7.8782618881832605,41667.06092940222,0.01622724828540294,0.0032444225529085127,TREND_REVERSAL
17:00 2024/03/24,BTCUSDT,BUY,BUY,0.5,0.4,64899.1,0.42159276062983186,27362.358780928094,2.7362358780928098,5472.198146278304,5.0,42091.0956585704,4527.801853721696,,,,,,
20:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,65656.91699,-0.42159276062983186,27680.48088825781,2.7680480888257812,5472.198146278304,,42406.44971781129,,315.35405924089076,5.762840650340232,42091.0956585704,0.01420372477510877,0.000190208150546288,TREND_REVERSAL
21:00 2024/03/24,BTCUSDT,BUY,BUY,0.6,0.5,65369.4,0.4216681247889278,27565.57052619317,2.756557052619317,5512.838463315467,5.0,42403.69316075867,4487.161536684533,,,,,,
